Group,response length
UKH,1
UKH,3
UKH,3
UKH,2
UKH,2
UKH,2
UKH,3
UKH,2
UKH,4
UKH,1
UKH,2
UKH,1
UKH,1
UKH,4
UKH,2
UKH,1
UKH,3
UKH,1
UKH,2
UKH,2
UKH,1
UKH,1
UKH,3
UKH,1
UKH,3
UKH,3
UKH,2
UKH,4
UKE,1
UKE,2
UKE,3
UKE,2
UKE,3
UKE,2
UKE,2
UKE,1
UKE,2
UKE,1
UKE,4
UKE,2
UKE,3
UKE,2
UKE,2
UKE,3
UKE,2
UKE,4
UKE,2
UKE,2
UKE,2
UKE,2
UKE,5
UKE,1
UKE,2
UKE,4
UKE,2
UKE,2
HUH,3
HUH,2
HUH,3
HUH,1
HUH,3
HUH,1
HUH,3
HUH,1
HUH,2
HUH,2
HUH,2
HUH,1
HUH,2
HUH,1
HUH,3
HUH,2
HUH,1
HUH,2
HUH,2
HUH,2
HUE,3
HUE,4
HUE,1
HUE,1
HUE,2
HUE,3
HUE,3
HUE,2
HUE,2
HUE,2
HUE,3
HUE,1
HUE,1
HUE,1
HUE,2
HUE,2
HUE,2
HUE,2
HUE,2
HUE,2